tweet_id,text,created_at,user_id,like_count,retweet_count,engagement_rate,lang,export_timestamp,dataset_version
2001529576573526296,Pemerintah bersama TNI Mobilisasi sarana untuk kebutuhan pangan& air bersih di lokasi Bencana. #PrabowoBersamaRakyat #MenteriDesaPeduliBencana #PemerintahDanTNITanggapBencana #PendampingDesaBantuSumatera @prabowo @YandriSusanto @ArizaPatria @prabowo @YandriSusanto @ArizaPatria https://t.co/zYXkfuQbGl,2025-12-18 05:46:52,1909782328261722112,0,0,0.0,in,2025-12-18T06:37:26.217616,2025-12-18_063726_manual
2001529526954988005,Pemerintah gmn si kocak,2025-12-18 05:46:40,1099668109684686848,0,0,0.0,in,2025-12-18T06:37:26.217616,2025-12-18_063726_manual
2001529527441461676,Pemerintah Prabowo + TNI Mobilisasi sarana ntuk suplay keb. pangan + air bersih di loks. Bencana #PrabowoBersamaRakyat #MenteriDesaPeduliBencana #PemerintahDanTNITanggapBencana #PendampingDesaBantuSumatera @prabowo @YandriSusanto @ArizaPatria @prabowo @YandriSusanto @ArizaPatria https://t.co/FarivlnGxn,2025-12-18 05:46:40,1614144734527901697,0,0,0.0,in,2025-12-18T06:37:26.217616,2025-12-18_063726_manual
2001529486890938610,"@indepenSumatera nih ya rakyat yg dananya gak seberapa kalo dibanding dana pemerintah aja bisa begini lohhh, pemerintahnya kemanaa ajaa yaaa",2025-12-18 05:46:30,1500706917500731392,0,0,0.0,in,2025-12-18T06:37:26.217616,2025-12-18_063726_manual
2001529470583509056,Hari-hari kasianin diri sendiri soalnya punya pemerintah mentalnya miskin ke rakyat tapi borju ke golongannya,2025-12-18 05:46:27,984099403123195904,0,0,0.0,in,2025-12-18T06:37:26.217616,2025-12-18_063726_manual
2001529463830638620,Tiap hari bangun buka sosmed ada aja yapping dr pemerintah yg bikin emosi gue naik,2025-12-18 05:46:25,1672285950851039232,0,0,0.0,in,2025-12-18T06:37:26.217616,2025-12-18_063726_manual
2001529424077058056,@achehsultanate Dulu Aceh ingin merdeka seperti irian dan keadaan sekarang apakah keinginan itu muncul lagi..di mana pemerintah yg harusnya jadi pengayom rakyatnya 😭😭,2025-12-18 05:46:15,1760932659319148544,0,0,0.0,in,2025-12-18T06:37:26.217616,2025-12-18_063726_manual
2001529417932362146,"@adarwis Gak pemerintah gak warganya, sama2 tolol",2025-12-18 05:46:14,1458740284741677066,0,0,0.0,in,2025-12-18T06:37:26.217616,2025-12-18_063726_manual
2001529357962219855,"""Kalau rakyat belanja, ekonomi jalan. Pemerintah ngerti banget rumus ini dan lagi gaspolin biar GDP ngebut!""",2025-12-18 05:46:00,227673514,0,0,0.0,in,2025-12-18T06:37:26.217616,2025-12-18_063726_manual
2001529357383442698,Confidence comes from knowing who you are and standing by it✨ Link 👉🏻 https://t.co/SxBU7HdLga #PolriInformatif Wujudkan Transparansi Publik #TanggapPemulihanBencana Sinergi Pemerintah #TraktiranUltahGreenSM BERBURU 100K DISKON #DareYouToLove_MV https://t.co/IE25uUFlRK,2025-12-18 05:46:00,1473841040171827202,0,0,0.0,in,2025-12-18T06:37:26.217616,2025-12-18_063726_manual
2001529285576970619,"Rp. 10.000 saldo dpt pas install apk shopeepay Caranya: Upgrade ke spay plus, login dg akun shopee & masukin kode referral FF6JWV5WP diskon info freelance job receh zonauang copot kamis yotha bomi na pd sinergi pemerintah mock mbappe jimmysea muhammadiyah winter jungkook https://t.co/GRxqs7nZR5",2025-12-18 05:45:42,1931239562648653824,1,1,0.14285714285714285,in,2025-12-18T06:37:26.217616,2025-12-18_063726_manual
2001522060045037916,Pemerintah dorong pengembangan teknologi dan industri pertahanan lewat kolaborasi ini! https://t.co/PDUMYxplP6,2025-12-18 05:17:00,1703611178704846848,0,0,0.0,in,2025-12-18T06:37:26.217616,2025-12-18_063726_manual
2001522024573997062,BHABINKAMTIBMAS DESA KARANGREJO AIPDA GALIH SETYA ADI MELAKSANAKAN SAMBANG DESA SERTA PENDAMPINGAN WARGA DALAM BETERNAK HEWAN KAMBING GUNA MENDUKUNG POGREM PEMERINTAH DAN KETAHANAN PANGAN NASIONAL https://t.co/IHJmBxsMAm,2025-12-18 05:16:51,1919567282923298816,0,0,0.0,in,2025-12-18T06:37:26.217616,2025-12-18_063726_manual
2001521999756300406,Ready kamis sore siang DISKON 100K sinergi pemerintah perthsanta Avatar gala #dood #videy #zonauang,2025-12-18 05:16:45,1979186797612797959,0,0,0.0,in,2025-12-18T06:37:26.217616,2025-12-18_063726_manual
2001521991887786087,@Phinniethegoat Lagi-lagi ya karena kegagalan pemerintah 👍,2025-12-18 05:16:44,1127555856906604545,0,0,0.0,in,2025-12-18T06:37:26.217616,2025-12-18_063726_manual
